"EXT","EST","AGR","CSN","OPN","count","Country"
-1.60572465228785,19.7856782906672,12.1776355573473,9.9989417456158,17.7706611570248,19844,"PH"
0.0815047021943574,19.404958677686,14.1157024793388,9.98062125961813,17.7908235964662,3509,"PK"
-2.71404036066982,20.5431515671962,9.81816230141692,6.96414770287677,22.6760412194075,4658,"PL"
2,15.5,5.5,4.5,13.5,2,"PM"
-1.06818181818182,18.9213286713287,13.0472027972028,9.18881118881119,21.3181818181818,572,"PR"
-0.571428571428571,19.9220779220779,13.6363636363636,10.9350649350649,20.038961038961,77,"PS"
-3.07508939213349,19.3377036154152,12.2614223281685,7.81922924116011,21.559396106476,2517,"PT"
6,15,16,14.6666666666667,22,3,"PW"
-1.41281138790036,20.5124555160142,11.6156583629893,6.69750889679715,21.3914590747331,281,"PY"
-1.18032786885246,19.2814207650273,12.655737704918,9.05737704918033,20.4972677595628,366,"QA"
0.333333333333333,19,13.8888888888889,4.22222222222222,24.2222222222222,9,"RE"
-1.15849546044099,19.0643320363165,11.6334630350195,8.35252918287938,21.8856031128405,3855,"RO"
-0.715738498789346,19.0861985472155,12.034382566586,8.83050847457627,22.5830508474576,2065,"RS"
-2.00090334236676,20.4519722975008,10.4968383017164,7.99126769045468,20.6693766937669,3321,"RU"
2.09375,17.125,16.5625,12.28125,22.375,32,"RW"
-1.72536496350365,19.793795620438,12.5702554744526,9.0985401459854,19.7883211678832,1096,"SA"
-4,17.7727272727273,11.1363636363636,10.7727272727273,23.3636363636364,22,"SC"
-5.46666666666667,21.0555555555556,11.6888888888889,7.97777777777778,22.4111111111111,90,"SD"
0.397346568674239,17.9255512074067,12.4383888517705,8.81989119022621,21.6576310012408,10477,"SE"
-1.49234994115339,19.0695697659213,12.7464365110501,9.02170785929123,18.4308879299072,7647,"SG"
9,30,22,5,25,1,"SH"
-1.41801385681293,18.8637413394919,11.4203233256351,8.67551963048499,22.1039260969977,866,"SI"
-1.40423387096774,18.4616935483871,11.3467741935484,8.00403225806452,21.804435483871,992,"SK"
-2.16666666666667,13.6666666666667,18.6666666666667,14.1666666666667,21.6666666666667,6,"SL"
-4,27,10.5,1,15,2,"SM"
-2.77777777777778,16.6111111111111,12.6666666666667,11.6111111111111,20.8888888888889,18,"SN"
-4.25,17.5,13.125,9.625,18.9375,16,"SO"
-0.720930232558139,13.3023255813953,11.7906976744186,9.90697674418605,19.3953488372093,43,"SR"
-0.2,16.6,15.8,10.6,24.4,5,"SS"
-1.48469387755102,19.1734693877551,12.0969387755102,9.07142857142857,21.4336734693878,196,"SV"
-2.5,18.75,17.75,7.25,20.75,4,"SX"
-2.0375,21.875,12.175,7.5375,21.25,80,"SY"
-2.15384615384615,14.5384615384615,12.5384615384615,9.23076923076923,18.7692307692308,13,"SZ"
-0.285714285714286,19.1428571428571,17.5714285714286,13.5714285714286,17.5714285714286,7,"TC"
7,5,23,23,19,1,"TD"
-2,16.6666666666667,10.3333333333333,1,14.3333333333333,3,"TG"
-0.28295165394402,17.3160305343511,12.0697201017812,9.2147582697201,18.4437659033079,1965,"TH"
-2,12.5,8,19.5,18,2,"TJ"
0.428571428571429,19.2857142857143,16.4285714285714,10.4285714285714,22.4285714285714,7,"TL"
-3.40625,19.875,10.5520833333333,7.234375,21.1354166666667,192,"TN"
-2.6,20.8,11.4,7.2,20,5,"TO"
-0.623399100034614,20.1197646244375,11.8736587054344,8.91346486673589,21.2769124264451,2889,"TR"
-2.7606490872211,18.9553752535497,13.6632860040568,10.3509127789047,20.7707910750507,493,"TT"
-0.339499455930359,18.5342763873776,12.9466811751904,8.45593035908596,19.5462459194777,919,"TW"
